,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
59,False,/i7sLa1ih9ZdrpKJZUHg04qwMzYF.jpg,[18],964819,de,99 Moons,"Everything is under control, she thinks. Everything is lost, he thinks. And then they meet. And fall.",34.759,/kvD2Shf2VKuSbCbmQLMS1RenN9c.jpg,2023-04-27,99 Moons,False,0.0,0
60,False,,[35],1110570,en,Love & Irony,The search for an authentic life leads an existential bike mechanic to discover the universal truths and transformative powers of love.,25.339,/3YSIoVYqFUUMwwKfck9otTY5Vzk.jpg,2023-04-25,Love & Irony,False,0.0,0
61,False,,[],1091864,en,In-Visible,The story of a struggling college student learning how to survive the campus life.,24.862,,2023-04-25,In-Visible,False,0.0,0
62,False,/6IID7OdTW2iAF48w5mvOjUYTni1.jpg,"[18, 14, 80]",767254,en,Blaze,"After a young girl witnesses a violent crime, she summons an imaginary dragon to help process her anger and protect her on her journey into womanhood.",19.196,/2Md3arZbECYEVcxyvHKb8o7MRH1.jpg,2022-08-25,Blaze,False,5.3,14
63,False,,[],1111134,es,Operación Travesti,"A parable, portrait or record around Daniel Melero’s Travesti. An entropy that’s the convergence between the secrets behind its production, the anniversary show -25 years later- and the winding career of a transverse artist.",23.686,/3HCwnMBxKBOxzopaGEADk58Y4Yd.jpg,2023-04-25,Operation Travesti,False,2.0,1
64,False,,[],1110808,es,El fuego que hemos construido,"Mora volunteers to be a surrogate so that Fran and Andy can become parents, but after conception, she changes her mind and unsuccessfully tries to have an abortion. That is how, unexpectedly, the three of them begin to live together, which alters everything.",23.615,,2023-04-25,The Fire,False,3.0,1
65,False,/8Y0RxH5cXiKV8C9Wyj6JkW9VYaG.jpg,[27],994143,en,Skinamarink,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",27.322,/o942912KFh89SGhqWuKXuT0SXzN.jpg,2023-01-13,Skinamarink,False,5.8,81
66,False,/kzi2aUrZSbmwmmtNlnO8JCI3yy.jpg,"[28, 12, 35]",977223,en,Polite Society,"Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",33.025,/wTuEohahpW4nY5dGru1l41XhytO.jpg,2023-04-27,Polite Society,False,7.3,3
67,False,/93c4Ujcbocue8PoFoV2HTzcedCF.jpg,"[28, 878]",921355,en,Assassin,"A private military operation invents futuristic microchip tech that enables the mind of an agent to inhabit the body of another person to carry out covert, deadly missions. But when an agent is killed during a secret mission, his wife takes his place in an attempt to bring the man responsible to justice.",22.901,/7N0BJPs616SSwE4hVs0jjWuiy5k.jpg,2023-03-31,Assassin,False,6.1,24
68,False,/dWwcwqAOkS6e4GCRJ5fC9iSVx9O.jpg,"[28, 12, 18]",858082,ta,பொன்னியின் செல்வன்: பாகம் 2,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of South India.",30.89,/7CLq0zg9A8GMPFipH9edHAKFIlN.jpg,2023-04-28,Ponniyin Selvan: Part II,False,0.0,0
